Indicador,Nombre_Indicador,Año,Estado,Clave_Estado,Valor
6200089271,tomas_macromedidor_funcionando,2018,Chihuahua,8,504
6200089271,tomas_macromedidor_funcionando,2020,Chihuahua,8,550
6200089271,tomas_macromedidor_funcionando,2016,Ciudad de México,9,153
6200089271,tomas_macromedidor_funcionando,2018,Ciudad de México,9,543
6200089271,tomas_macromedidor_funcionando,2020,Ciudad de México,9,432
6200089271,tomas_macromedidor_funcionando,2016,Durango,10,146
6200089271,tomas_macromedidor_funcionando,2018,Durango,10,167
6200089271,tomas_macromedidor_funcionando,2020,Durango,10,207
6200089271,tomas_macromedidor_funcionando,2016,Guanajuato,11,538
6200089271,tomas_macromedidor_funcionando,2018,Guanajuato,11,695
6200089271,tomas_macromedidor_funcionando,2020,Guanajuato,11,732
6200089271,tomas_macromedidor_funcionando,2016,Guerrero,12,49
6200089271,tomas_macromedidor_funcionando,2018,Guerrero,12,18
6200089271,tomas_macromedidor_funcionando,2020,Guerrero,12,26
6200089271,tomas_macromedidor_funcionando,2016,Hidalgo,13,300
6200089271,tomas_macromedidor_funcionando,2018,Hidalgo,13,324
6200089271,tomas_macromedidor_funcionando,2020,Hidalgo,13,302
6200089271,tomas_macromedidor_funcionando,2016,Jalisco,14,629
6200089271,tomas_macromedidor_funcionando,2018,Jalisco,14,659
6200089271,tomas_macromedidor_funcionando,2020,Jalisco,14,755
6200089271,tomas_macromedidor_funcionando,2016,Estado de México,15,673
6200089271,tomas_macromedidor_funcionando,2018,Estado de México,15,990
6200089271,tomas_macromedidor_funcionando,2020,Estado de México,15,896
6200089271,tomas_macromedidor_funcionando,2016,Michoacán,16,292
6200089271,tomas_macromedidor_funcionando,2018,Michoacán,16,332
6200089271,tomas_macromedidor_funcionando,2020,Michoacán,16,327
6200089271,tomas_macromedidor_funcionando,2016,Morelos,17,153
6200089271,tomas_macromedidor_funcionando,2018,Morelos,17,191
6200089271,tomas_macromedidor_funcionando,2020,Morelos,17,210
6200089271,tomas_macromedidor_funcionando,2016,Nayarit,18,98
6200089271,tomas_macromedidor_funcionando,2018,Nayarit,18,91
6200089271,tomas_macromedidor_funcionando,2020,Nayarit,18,106
6200089271,tomas_macromedidor_funcionando,2016,Nuevo León,19,403
6200089271,tomas_macromedidor_funcionando,2018,Nuevo León,19,337
6200089271,tomas_macromedidor_funcionando,2020,Nuevo León,19,382
6200089271,tomas_macromedidor_funcionando,2016,Oaxaca,20,162
6200089271,tomas_macromedidor_funcionando,2018,Oaxaca,20,209
6200089271,tomas_macromedidor_funcionando,2020,Oaxaca,20,290
6200089271,tomas_macromedidor_funcionando,2016,Puebla,21,403
6200089271,tomas_macromedidor_funcionando,2018,Puebla,21,359
6200089271,tomas_macromedidor_funcionando,2020,Puebla,21,412
6200089271,tomas_macromedidor_funcionando,2016,Querétaro,22,321
6200089271,tomas_macromedidor_funcionando,2018,Querétaro,22,326
6200089271,tomas_macromedidor_funcionando,2020,Querétaro,22,319
6200089271,tomas_macromedidor_funcionando,2016,Quintana Roo,23,144
6200089271,tomas_macromedidor_funcionando,2018,Quintana Roo,23,177
6200089271,tomas_macromedidor_funcionando,2020,Quintana Roo,23,186
6200089271,tomas_macromedidor_funcionando,2016,San Luis Potosí,24,206
6200089271,tomas_macromedidor_funcionando,2018,San Luis Potosí,24,181
6200089271,tomas_macromedidor_funcionando,2020,San Luis Potosí,24,169
6200089271,tomas_macromedidor_funcionando,2016,Sinaloa,25,41
6200089271,tomas_macromedidor_funcionando,2018,Sinaloa,25,85
6200089271,tomas_macromedidor_funcionando,2020,Sinaloa,25,56
6200089271,tomas_macromedidor_funcionando,2016,Sonora,26,184
6200089271,tomas_macromedidor_funcionando,2018,Sonora,26,253
6200089271,tomas_macromedidor_funcionando,2020,Sonora,26,282
6200089271,tomas_macromedidor_funcionando,2016,Tabasco,27,0
6200089271,tomas_macromedidor_funcionando,2018,Tabasco,27,1
6200089271,tomas_macromedidor_funcionando,2020,Tabasco,27,4
6200089271,tomas_macromedidor_funcionando,2016,Tamaulipas,28,37
6200089271,tomas_macromedidor_funcionando,2018,Tamaulipas,28,47
6200089271,tomas_macromedidor_funcionando,2020,Tamaulipas,28,48
6200089271,tomas_macromedidor_funcionando,2016,Tlaxcala,29,137
6200089271,tomas_macromedidor_funcionando,2018,Tlaxcala,29,214
6200089271,tomas_macromedidor_funcionando,2020,Tlaxcala,29,228
6200089271,tomas_macromedidor_funcionando,2016,Veracruz,30,197
6200089271,tomas_macromedidor_funcionando,2018,Veracruz,30,249
6200089271,tomas_macromedidor_funcionando,2020,Veracruz,30,283
6200089271,tomas_macromedidor_funcionando,2016,Yucatán,31,230
6200089271,tomas_macromedidor_funcionando,2018,Yucatán,31,215
6200089271,tomas_macromedidor_funcionando,2020,Yucatán,31,311
6200089271,tomas_macromedidor_funcionando,2016,Zacatecas,32,171
6200089271,tomas_macromedidor_funcionando,2018,Zacatecas,32,176
6200089271,tomas_macromedidor_funcionando,2020,Zacatecas,32,254
6200089278,descargas_sin_tratamiento_rio,2016,Aguascalientes,1,165
6200089278,descargas_sin_tratamiento_rio,2018,Aguascalientes,1,83
6200089278,descargas_sin_tratamiento_rio,2020,Aguascalientes,1,121
6200089278,descargas_sin_tratamiento_rio,2016,Baja California,2,2
6200089278,descargas_sin_tratamiento_rio,2018,Baja California,2,2
6200089278,descargas_sin_tratamiento_rio,2020,Baja California,2,1
6200089278,descargas_sin_tratamiento_rio,2016,Baja California Sur,3,0
6200089278,descargas_sin_tratamiento_rio,2018,Baja California Sur,3,0
6200089278,descargas_sin_tratamiento_rio,2020,Baja California Sur,3,0
6200089278,descargas_sin_tratamiento_rio,2016,Campeche,4,0
6200089278,descargas_sin_tratamiento_rio,2018,Campeche,4,0
6200089278,descargas_sin_tratamiento_rio,2020,Campeche,4,0
6200089278,descargas_sin_tratamiento_rio,2016,Coahuila,5,6
6200089278,descargas_sin_tratamiento_rio,2018,Coahuila,5,5
6200089278,descargas_sin_tratamiento_rio,2020,Coahuila,5,5
6200089278,descargas_sin_tratamiento_rio,2016,Colima,6,0
6200089278,descargas_sin_tratamiento_rio,2018,Colima,6,0
6200089278,descargas_sin_tratamiento_rio,2020,Colima,6,1
6200089278,descargas_sin_tratamiento_rio,2016,Chiapas,7,172
6200089278,descargas_sin_tratamiento_rio,2018,Chiapas,7,197
6200089278,descargas_sin_tratamiento_rio,2020,Chiapas,7,230
6200089278,descargas_sin_tratamiento_rio,2016,Chihuahua,8,21
6200089278,descargas_sin_tratamiento_rio,2018,Chihuahua,8,8
6200089278,descargas_sin_tratamiento_rio,2020,Chihuahua,8,9
6200089278,descargas_sin_tratamiento_rio,2016,Ciudad de México,9,14
6200089278,descargas_sin_tratamiento_rio,2018,Ciudad de México,9,12
6200089278,descargas_sin_tratamiento_rio,2020,Ciudad de México,9,24
6200089278,descargas_sin_tratamiento_rio,2016,Durango,10,6
6200089278,descargas_sin_tratamiento_rio,2018,Durango,10,6
6200089278,descargas_sin_tratamiento_rio,2020,Durango,10,13
6200089278,descargas_sin_tratamiento_rio,2016,Guanajuato,11,21
6200089278,descargas_sin_tratamiento_rio,2018,Guanajuato,11,25
6200089278,descargas_sin_tratamiento_rio,2020,Guanajuato,11,38
6200089278,descargas_sin_tratamiento_rio,2016,Guerrero,12,73
6200089278,descargas_sin_tratamiento_rio,2018,Guerrero,12,103
6200089278,descargas_sin_tratamiento_rio,2020,Guerrero,12,103
6200089278,descargas_sin_tratamiento_rio,2016,Hidalgo,13,221
6200089278,descargas_sin_tratamiento_rio,2018,Hidalgo,13,189
6200089278,descargas_sin_tratamiento_rio,2020,Hidalgo,13,225
6200089278,descargas_sin_tratamiento_rio,2016,Jalisco,14,339
6200089278,descargas_sin_tratamiento_rio,2018,Jalisco,14,339
6200089278,descargas_sin_tratamiento_rio,2020,Jalisco,14,318
6200089278,descargas_sin_tratamiento_rio,2016,Estado de México,15,310
6200089278,descargas_sin_tratamiento_rio,2018,Estado de México,15,287
6200089278,descargas_sin_tratamiento_rio,2020,Estado de México,15,317
6200089278,descargas_sin_tratamiento_rio,2016,Michoacán,16,179
6200089278,descargas_sin_tratamiento_rio,2018,Michoacán,16,216
6200089278,descargas_sin_tratamiento_rio,2020,Michoacán,16,258
6200089278,descargas_sin_tratamiento_rio,2016,Morelos,17,53
6200089278,descargas_sin_tratamiento_rio,2018,Morelos,17,29
6200089278,descargas_sin_tratamiento_rio,2020,Morelos,17,33
6200089278,descargas_sin_tratamiento_rio,2016,Nayarit,18,1
6200089278,descargas_sin_tratamiento_rio,2018,Nayarit,18,1
6200089278,descargas_sin_tratamiento_rio,2020,Nayarit,18,2
6200089278,descargas_sin_tratamiento_rio,2016,Nuevo León,19,0
6200089278,descargas_sin_tratamiento_rio,2018,Nuevo León,19,1
6200089278,descargas_sin_tratamiento_rio,2020,Nuevo León,19,0
6200089278,descargas_sin_tratamiento_rio,2016,Oaxaca,20,143
6200089278,descargas_sin_tratamiento_rio,2018,Oaxaca,20,155
6200089278,descargas_sin_tratamiento_rio,2020,Oaxaca,20,188
6200089278,descargas_sin_tratamiento_rio,2016,Puebla,21,121
6200089278,descargas_sin_tratamiento_rio,2018,Puebla,21,69
6200089278,descargas_sin_tratamiento_rio,2020,Puebla,21,125
6200089278,descargas_sin_tratamiento_rio,2016,Querétaro,22,25
6200089278,descargas_sin_tratamiento_rio,2018,Querétaro,22,27
6200089278,descargas_sin_tratamiento_rio,2020,Querétaro,22,26
6200089278,descargas_sin_tratamiento_rio,2016,Quintana Roo,23,0
6200089278,descargas_sin_tratamiento_rio,2018,Quintana Roo,23,0
6200089278,descargas_sin_tratamiento_rio,2020,Quintana Roo,23,0
6200089278,descargas_sin_tratamiento_rio,2016,San Luis Potosí,24,96
6200089278,descargas_sin_tratamiento_rio,2018,San Luis Potosí,24,91
6200089278,descargas_sin_tratamiento_rio,2020,San Luis Potosí,24,104
6200089278,descargas_sin_tratamiento_rio,2016,Sinaloa,25,28
6200089278,descargas_sin_tratamiento_rio,2018,Sinaloa,25,25
6200089278,descargas_sin_tratamiento_rio,2020,Sinaloa,25,15
6200089278,descargas_sin_tratamiento_rio,2016,Sonora,26,20
6200089278,descargas_sin_tratamiento_rio,2018,Sonora,26,8
6200089278,descargas_sin_tratamiento_rio,2020,Sonora,26,30
6200089278,descargas_sin_tratamiento_rio,2016,Tabasco,27,144
6200089278,descargas_sin_tratamiento_rio,2018,Tabasco,27,125
6200089278,descargas_sin_tratamiento_rio,2020,Tabasco,27,136
6200089278,descargas_sin_tratamiento_rio,2016,Tamaulipas,28,15
6200089278,descargas_sin_tratamiento_rio,2018,Tamaulipas,28,27
6200089278,descargas_sin_tratamiento_rio,2020,Tamaulipas,28,34
6200089278,descargas_sin_tratamiento_rio,2016,Tlaxcala,29,58
6200089278,descargas_sin_tratamiento_rio,2018,Tlaxcala,29,77
6200089278,descargas_sin_tratamiento_rio,2020,Tlaxcala,29,60
6200089278,descargas_sin_tratamiento_rio,2016,Veracruz,30,172
6200089278,descargas_sin_tratamiento_rio,2018,Veracruz,30,232
6200089278,descargas_sin_tratamiento_rio,2020,Veracruz,30,371
6200089278,descargas_sin_tratamiento_rio,2016,Yucatán,31,0
6200089278,descargas_sin_tratamiento_rio,2018,Yucatán,31,0
6200089278,descargas_sin_tratamiento_rio,2020,Yucatán,31,0
6200089278,descargas_sin_tratamiento_rio,2016,Zacatecas,32,138
6200089278,descargas_sin_tratamiento_rio,2018,Zacatecas,32,146
6200089278,descargas_sin_tratamiento_rio,2020,Zacatecas,32,239
6200089280,descargas_sin_tratamiento_mar,2016,Aguascalientes,1,0
6200089280,descargas_sin_tratamiento_mar,2018,Aguascalientes,1,0
6200089280,descargas_sin_tratamiento_mar,2020,Aguascalientes,1,0
6200089280,descargas_sin_tratamiento_mar,2016,Baja California,2,0
